No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,market_cap_int
218,FDX,FedEx Corporation,72.40B,307.93,3.52%,90.09B,72400000000
219,INFY,Infosys Limited,72.37B,18.1,2.38%,19.69B,72370000000
220,STX,Seagate Technology Holdings plc,71.99B,330.42,14.00%,9.56B,71990000000
221,NWG,NatWest Group plc,71.30B,17.78,-1.71%,20.89B,71300000000
222,WBD,"Warner Bros. Discovery, Inc.",70.59B,28.47,-0.21%,37.86B,70590000000
223,SPG,"Simon Property Group, Inc.",70.27B,186.3,1.74%,6.16B,70270000000
224,JCI,Johnson Controls International plc,69.64B,113.95,-6.24%,23.60B,69640000000
225,NET,"Cloudflare, Inc.",69.36B,198.0,0.17%,2.01B,69360000000
226,EPD,Enterprise Products Partners L.P.,68.64B,31.73,-1.34%,53.00B,68640000000
227,HLT,Hilton Worldwide Holdings Inc.,68.17B,293.28,2.63%,4.87B,68170000000
228,TEL,TE Connectivity plc,68.05B,231.31,-0.04%,17.26B,68050000000
229,MDLZ,"Mondelez International, Inc.",68.04B,52.73,-1.88%,37.65B,68040000000
230,COIN,"Coinbase Global, Inc.",67.57B,250.56,-1.71%,7.37B,67569999999
231,AJG,Arthur J. Gallagher & Co.,67.48B,262.77,-0.18%,12.08B,67480000000
232,CSX,CSX Corporation,67.16B,36.07,0.45%,14.12B,67160000000
233,COR,"Cencora, Inc.",67.15B,346.17,1.54%,321.33B,67150000000
234,CNQ,Canadian Natural Resources Limited,67.06B,31.59,-1.99%,27.73B,67060000000
235,VRT,Vertiv Holdings Co,66.89B,174.95,0.57%,9.70B,66890000000
236,RACE,Ferrari N.V.,65.94B,371.96,-1.93%,8.31B,65940000000
237,CP,Canadian Pacific Kansas City Limited,65.53B,73.46,1.03%,10.79B,65530000000
238,TFC,Truist Financial Corporation,65.47B,51.18,1.39%,18.28B,65470000000
239,PWR,"Quanta Services, Inc.",65.35B,438.22,0.55%,27.19B,65349999999
240,NSC,Norfolk Southern Corporation,65.33B,291.15,1.12%,12.23B,65330000000
241,RSG,"Republic Services, Inc.",65.30B,210.93,-0.90%,16.50B,65300000000
242,SLB,SLB N.V.,65.18B,43.63,-0.39%,35.25B,65180000000
243,TRV,"The Travelers Companies, Inc.",63.62B,285.19,-0.89%,48.40B,63620000000
244,MSI,"Motorola Solutions, Inc.",63.47B,381.06,-0.42%,11.31B,63470000000
245,AMX,"América Móvil, S.A.B. de C.V.",62.92B,20.3,-2.64%,51.01B,62920000000
246,CL,Colgate-Palmolive Company,62.23B,77.2,0.35%,20.10B,62230000000
247,ADSK,"Autodesk, Inc.",62.03B,293.17,1.56%,6.89B,62030000000
248,NXPI,NXP Semiconductors N.V.,61.90B,245.95,9.86%,12.05B,61900000000
249,MFC,Manulife Financial Corporation,61.80B,37.4,1.96%,22.91B,61800000000
250,PCAR,PACCAR Inc,61.49B,117.08,3.68%,29.53B,61490000000
251,AEP,"American Electric Power Company, Inc.",61.44B,115.04,0.85%,21.26B,61440000000
252,CNI,Canadian National Railway Company,61.20B,100.6,1.28%,12.35B,61200000000
253,ROST,"Ross Stores, Inc.",60.66B,187.53,0.46%,22.03B,60660000000
254,VALE,Vale S.A.,60.34B,14.17,4.50%,40.03B,60340000000
255,RKT,"Rocket Companies, Inc.",59.73B,21.21,0.52%,6.10B,59730000000
256,KMI,"Kinder Morgan, Inc.",59.67B,26.82,-3.87%,16.42B,59670000000
257,EQNR,Equinor ASA,59.61B,23.17,-4.02%,107.07B,59610000000
258,LHX,"L3Harris Technologies, Inc.",58.82B,314.47,0.99%,21.74B,58820000000
259,AFL,Aflac Incorporated,58.68B,111.96,-0.21%,17.70B,58680000000
260,BDX,"Becton, Dickinson and Company",58.51B,205.36,3.22%,21.84B,58510000000
261,E,Eni S.p.A.,58.34B,37.85,-3.57%,101.56B,58340000000
262,FTNT,"Fortinet, Inc.",58.33B,78.44,0.64%,6.55B,58330000000
263,TRI,Thomson Reuters Corporation,57.85B,130.45,0.85%,7.38B,57850000000
264,ARES,Ares Management Corporation,57.53B,176.0,2.30%,5.36B,57530000000
265,APD,"Air Products and Chemicals, Inc.",57.51B,258.36,1.78%,12.04B,57510000000
266,NDAQ,"Nasdaq, Inc.",57.49B,100.69,2.28%,8.17B,57490000000
267,VST,Vistra Corp.,57.44B,169.53,4.05%,17.19B,57440000000
268,SRE,Sempra,57.24B,87.7,0.18%,13.71B,57240000000
269,ZTS,Zoetis Inc.,57.00B,129.35,-0.02%,9.40B,57000000000
270,EOG,"EOG Resources, Inc.",56.97B,105.0,-1.13%,22.65B,56970000000
271,URI,"United Rentals, Inc.",56.76B,892.1,0.57%,15.99B,56760000000
272,IDXX,"IDEXX Laboratories, Inc.",56.44B,706.83,3.61%,4.17B,56440000000
273,PYPL,"PayPal Holdings, Inc.",55.96B,59.81,0.88%,32.86B,55960000000
274,ET,Energy Transfer LP,55.79B,16.25,-1.04%,79.76B,55790000000
275,WDAY,"Workday, Inc.",55.31B,210.3,0.67%,9.23B,55310000000
276,PSX,Phillips 66,55.06B,136.65,-2.38%,131.95B,55060000000
277,F,Ford Motor Company,54.99B,13.8,2.45%,189.59B,54990000000
278,WPM,Wheaton Precious Metals Corp.,54.91B,125.51,3.74%,1.83B,54910000000
279,DLR,"Digital Realty Trust, Inc.",54.83B,156.78,0.65%,5.84B,54830000000
280,ALL,The Allstate Corporation,54.41B,207.92,1.14%,66.85B,54410000000
281,VLO,Valero Energy Corporation,54.37B,178.27,-1.27%,116.55B,54370000000
282,TRP,TC Energy Corporation,54.17B,54.05,-2.40%,10.52B,54170000000
283,SU,Suncor Energy Inc.,54.01B,45.24,1.05%,35.46B,54010000000
284,AZO,"AutoZone, Inc.",53.76B,3244.92,-0.72%,19.29B,53760000000
285,ALNY,"Alnylam Pharmaceuticals, Inc.",53.69B,406.4,2.15%,3.21B,53690000000
286,MET,"MetLife, Inc.",53.49B,81.18,-0.72%,71.93B,53490000000
287,RBLX,Roblox Corporation,53.23B,75.83,-6.43%,4.46B,53230000000
288,MPLX,MPLX LP,53.11B,52.22,-2.03%,11.63B,53110000000
289,O,Realty Income Corporation,52.97B,57.42,-0.74%,5.61B,52970000000
290,SNDK,Sandisk Corporation,51.24B,349.63,27.56%,7.78B,51240000000
291,MPC,Marathon Petroleum Corporation,51.23B,170.42,-2.58%,133.58B,51230000000
292,CMG,"Chipotle Mexican Grill, Inc.",51.07B,38.62,0.97%,11.79B,51070000000
293,EA,Electronic Arts Inc.,50.95B,204.28,-0.04%,7.29B,50950000000
294,BIDU,"Baidu, Inc.",50.33B,146.42,-2.18%,18.33B,50330000000
295,D,"Dominion Energy, Inc.",50.14B,58.72,0.05%,15.81B,50140000000
296,EW,Edwards Lifesciences Corporation,49.82B,85.85,2.00%,5.88B,49820000000
297,AXON,"Axon Enterprise, Inc.",49.78B,626.65,6.00%,2.56B,49780000000
298,TCOM,Trip.com Group Limited,49.74B,76.1,1.26%,8.39B,49740000000
299,CAH,"Cardinal Health, Inc.",49.53B,208.48,1.47%,234.31B,49530000000
300,TAK,Takeda Pharmaceutical Company Limited,49.52B,15.79,0.64%,29.85B,49520000000
301,DEO,Diageo plc,49.34B,88.51,-1.16%,20.25B,49340000000
302,AME,"AMETEK, Inc.",49.30B,214.16,1.35%,7.16B,49300000000
303,ARGX,argenx SE,49.07B,803.74,0.36%,3.68B,49070000000
304,CBRE,"CBRE Group, Inc.",48.93B,166.92,1.53%,39.33B,48930000000
305,GWW,"W.W. Grainger, Inc.",48.93B,1028.98,1.37%,17.75B,48930000000
306,BKR,Baker Hughes Company,48.73B,49.38,0.63%,27.71B,48730000000
307,HEI,HEICO Corporation,48.45B,347.7,1.78%,4.49B,48450000000
308,MPWR,"Monolithic Power Systems, Inc.",48.16B,1005.38,5.27%,2.66B,48160000000
309,RDDT,"Reddit, Inc.",48.10B,253.81,4.00%,1.90B,48100000000
310,DDOG,"Datadog, Inc.",48.08B,137.1,2.59%,3.21B,48080000000
311,FER,Ferrovial SE,47.77B,67.36,0.27%,10.98B,47770000000
312,FAST,Fastenal Company,47.69B,41.54,0.95%,8.00B,47690000000
313,MSTR,Strategy Inc,47.68B,157.97,-4.10%,474.94M,47680000000
314,PSA,Public Storage,47.56B,270.32,3.61%,4.80B,47560000000
315,AMP,"Ameriprise Financial, Inc.",47.40B,510.24,0.46%,18.51B,47400000000
316,AU,AngloGold Ashanti plc,47.29B,93.66,5.87%,8.58B,47290000000
317,TGT,Target Corporation,47.23B,104.3,2.15%,105.24B,47230000000
318,TTWO,"Take-Two Interactive Software, Inc.",47.00B,254.35,-1.15%,6.22B,47000000000
319,ROP,"Roper Technologies, Inc.",46.99B,436.54,1.13%,7.72B,46990000000
320,CTVA,"Corteva, Inc.",46.88B,69.37,2.24%,17.47B,46880000000
321,DAL,"Delta Air Lines, Inc.",46.84B,72.22,0.56%,62.92B,46840000000
322,ROK,"Rockwell Automation, Inc.",46.48B,413.36,2.13%,8.34B,46480000000
323,RKLB,Rocket Lab Corporation,45.95B,86.03,10.10%,554.54M,45950000000
324,HLN,Haleon plc,45.27B,10.27,1.58%,15.10B,45270000000
325,CARR,Carrier Global Corporation,45.06B,53.5,-0.54%,22.06B,45060000000
326,WCN,"Waste Connections, Inc.",44.62B,174.3,0.21%,9.35B,44620000000
327,OKE,"ONEOK, Inc.",44.59B,70.87,-3.77%,31.56B,44590000000
328,CCJ,Cameco Corporation,44.52B,102.09,1.92%,2.49B,44520000000
329,EXC,Exelon Corporation,44.29B,43.84,0.69%,24.32B,44290000000
330,FERG,Ferguson Enterprises Inc.,44.20B,226.01,-0.70%,31.16B,44200000000
331,MSCI,MSCI Inc.,44.10B,586.96,1.62%,3.06B,44100000000
332,XEL,Xcel Energy Inc.,44.03B,74.43,0.49%,14.23B,44030000000
333,IMO,Imperial Oil Limited,43.55B,87.61,-0.15%,34.73B,43550000000
334,LVS,Las Vegas Sands Corp.,43.12B,63.78,-1.33%,12.26B,43120000000
335,CPNG,"Coupang, Inc.",42.98B,23.53,2.80%,33.66B,42980000000
336,CCL,Carnival Corporation & plc,42.40B,32.3,2.57%,26.62B,42400000000
337,SYM,Symbotic Inc.,42.25B,70.45,2.67%,2.25B,42250000000
338,ETR,Entergy Corporation,42.21B,93.32,0.83%,12.73B,42210000000
339,DHI,"D.R. Horton, Inc.",42.20B,144.5,-1.35%,34.25B,42200000000
340,XYZ,"Block, Inc.",42.18B,70.0,2.26%,23.97B,42180000000
341,AIG,"American International Group, Inc.",42.12B,78.07,-7.48%,27.12B,42120000000
342,YUM,"Yum! Brands, Inc.",42.04B,151.41,0.75%,8.06B,42040000000
343,JD,"JD.com, Inc.",42.00B,29.6,-0.17%,183.14B,42000000000
344,HEI.A,HEICO Corporation,41.88B,269.67,1.37%,4.49B,41880000000
345,LNG,"Cheniere Energy, Inc.",41.88B,194.59,-2.08%,18.94B,41880000000
346,A,"Agilent Technologies, Inc.",41.84B,147.6,3.45%,6.95B,41840000000
347,TEAM,Atlassian Corporation,41.67B,158.36,2.91%,5.46B,41670000000
348,FANG,"Diamondback Energy, Inc.",41.38B,144.47,-1.71%,14.63B,41380000000
349,EBAY,eBay Inc.,41.36B,91.51,1.15%,10.71B,41360000000
350,GFI,Gold Fields Limited,41.33B,47.22,6.28%,6.56B,41330000000
351,PRU,"Prudential Financial, Inc.",41.17B,117.67,0.26%,57.60B,41170000000
352,OXY,Occidental Petroleum Corporation,41.12B,41.74,1.24%,26.60B,41120000000
353,FNV,Franco-Nevada Corporation,41.02B,219.58,3.37%,1.53B,41020000000
354,IQV,IQVIA Holdings Inc.,40.96B,240.53,2.53%,15.90B,40960000000
355,PUK,Prudential plc,40.88B,32.42,0.53%,13.34B,40880000000
356,CTSH,Cognizant Technology Solutions Corporation,40.84B,84.62,3.66%,20.86B,40840000000
357,MCHP,Microchip Technology Incorporated,40.46B,74.87,11.65%,4.21B,40460000000
358,GRMN,Garmin Ltd.,40.27B,209.35,2.74%,6.94B,40270000000
359,ALC,Alcon Inc.,40.25B,81.81,1.44%,10.19B,40250000000
360,PAYX,"Paychex, Inc.",39.92B,111.22,1.59%,6.03B,39920000000
361,VMC,Vulcan Materials Company,39.62B,299.85,1.07%,7.88B,39620000000
362,TKO,"TKO Group Holdings, Inc.",39.56B,202.81,-0.41%,2.55B,39560000000
363,GEHC,GE HealthCare Technologies Inc.,39.51B,86.73,1.99%,20.25B,39510000000
364,ABEV,Ambev S.A.,39.48B,2.51,-,16.98B,39480000000
365,PEG,Public Service Enterprise Group Incorporated,39.23B,78.6,-0.93%,11.72B,39230000000
366,EL,The Estée Lauder Companies Inc.,39.12B,108.55,0.36%,14.45B,39120000000
367,VEEV,Veeva Systems Inc.,39.10B,237.87,7.48%,3.08B,39100000000
368,KR,The Kroger Co.,39.07B,61.74,-0.08%,147.23B,39070000000
369,MLM,"Martin Marietta Materials, Inc.",38.97B,646.24,0.66%,6.90B,38970000000
370,HMC,"Honda Motor Co., Ltd.",38.89B,29.52,-1.80%,145.44B,38890000000
371,CRWV,"CoreWeave, Inc.",38.84B,77.94,1.41%,4.31B,38840000000
372,NUE,Nucor Corporation,38.76B,169.35,0.73%,31.88B,38760000000
373,CCEP,Coca-Cola Europacific Partners PLC,38.74B,85.71,-2.11%,24.47B,38740000000
374,FLUT,Flutter Entertainment plc,38.45B,219.75,-0.75%,15.44B,38450000000
375,TRGP,Targa Resources Corp.,38.19B,177.91,-3.03%,17.38B,38190000000
376,HIG,"The Hartford Insurance Group, Inc.",38.16B,136.93,-0.60%,27.92B,38160000000
377,UAL,"United Airlines Holdings, Inc.",38.05B,117.53,2.30%,58.37B,38050000000
378,CCI,Crown Castle Inc.,37.94B,87.13,-1.46%,6.42B,37940000000
379,FICO,Fair Isaac Corporation,37.93B,1599.96,-3.24%,1.99B,37930000000
380,WAB,Westinghouse Air Brake Technologies Corporation,37.77B,220.94,1.81%,10.79B,37770000000
381,CPRT,"Copart, Inc.",37.71B,38.96,1.10%,4.66B,37710000000
382,ASX,"ASE Technology Holding Co., Ltd.",37.62B,17.5,3.18%,20.66B,37620000000
383,STT,State Street Corporation,37.52B,134.32,0.98%,13.63B,37520000000
384,INSM,Insmed Incorporated,37.34B,175.07,-0.07%,447.02M,37340000000
385,KDP,Keurig Dr Pepper Inc.,37.14B,27.34,0.07%,16.17B,37140000000
386,FISV,"Fiserv, Inc.",36.98B,68.76,2.64%,21.16B,36980000000
387,TEVA,Teva Pharmaceutical Industries Limited,36.84B,32.11,3.58%,16.78B,36840000000
388,KEYS,"Keysight Technologies, Inc.",36.71B,213.64,2.31%,5.38B,36710000000
389,EXPE,"Expedia Group, Inc.",36.66B,299.21,4.08%,14.37B,36660000000
390,RYAAY,Ryanair Holdings plc,36.48B,71.56,-3.06%,17.69B,36480000000
391,NOK,Nokia Oyj,36.44B,6.47,-0.46%,23.17B,36440000000
392,FIX,"Comfort Systems USA, Inc.",36.43B,1035.11,0.27%,8.32B,36430000000
393,HSY,The Hershey Company,36.36B,179.28,-0.39%,11.49B,36360000000
394,RMD,ResMed Inc.,36.30B,249.19,1.56%,5.26B,36300000000
395,ASTS,"AST SpaceMobile, Inc.",36.09B,97.49,7.23%,18.53M,36090000000
396,VTR,"Ventas, Inc.",36.03B,76.14,-0.39%,5.54B,36030000000
397,ED,"Consolidated Edison, Inc.",35.85B,99.32,0.83%,16.59B,35850000000
398,TER,"Teradyne, Inc.",35.84B,228.84,4.26%,2.86B,35840000000
